# GeneSpring v.7.3.1
# Annotations file for the Master Table of Genes (both ORFs and non-
# ORFs) for genome Fission yeast
Systematic Name	EC number	PombePD	Our_annotation	Phenotype	Function	Keywords	PubMedID	GeneDB	Remarks	Swissprot	Type	DBid	GO biological process	GO molecular function	GO cellular component	RefSeq	UniGene
C825.04c		Member of the acetyltransferase (GNAT) family, has low similarity to uncharacterized C. albicans Orf19.4664p					SPCC825.04c	N-acetyltransferase (predicted)		Q9USH6							
C16E9.10c		Protein with high similarity to S. cerevisiae Rix7p, which is involved in ribosomal large subunit-nucleus export, member of the ATPase family associated with various cellular activities					SPBC16E9.10c	AAA family ATPase		O14325							
C25A8.03c		Protein of unknown function, has weak similarity to uncharacterized C. albicans Orf19.4820p					SPAC25A8.03c	conserved fungal protein,  SPAC3C7.15c		O14138							
C23G3.05c		Protein of unknown function, has low similarity to uncharacterized C. neoformans Cnd04840_D					SPAC23G3.05c	regulator of G-protein signaling (RGS) domain (inferred from context)		Q9P7S8							
C15A10.12c		Protein of unknown function					SPAC15A10.12c	conserved eukaryotic protein		O13732							
C660.12c		Protein of unknown function, has low similarity to uncharacterized C. albicans Orf19.2988p					SPBC660.12c	peptide epimerase (predicted)		O94431							
C1683.13c		Putative transcriptional activator, contains zinc finger domain					SPBC1683.13c	transcription factor (predicted)		Q9P6I9							
C24H6.10c	EC4.1.2.15	Protein with high similarity to 2-dehydro-3-deoxyphosphoheptonate aldolase (3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, S. cerevisiae Aro4p), contains a 3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthetase I family domain					SPAC24H6.10c	phospho-2-dehydro-3-deoxyheptonate aldolase		Q09755							
C6B1.12c		Protein of unknown function	SAGA histone acetylase complex (predicted)				SPBC6B1.12c	SAGA histone acetylase complex (predicted)									
C31F10.04c		Component of the mediator complex, involved in regulating RNA polymerase II activity					SPBC31F10.04c	RNA polymerase II holoenzyme component		P87306							
C8E11.01c	EC3.2.1.26	Member of the glycosyl hydrolases family 32, has moderate similarity to invertase (S. pombe Inv1p), which is a beta-D-fructofuranoside fructohydrolase					SPAC8E11.01c	beta-fructofuranosidase,  SPAC959.01		O42878							
C825.05c		Member of the PWI domain containing family, has moderate similarity to a region of ser-Arg related nuclear matrix protein (human SRRM1), which is a component of the SRm160-300 complex of nuclear matrix proteins required for splicing of specific pre-mRNAs					SPCC825.05c	PWI domain		Q9USH5							
C16E9.11c		Putative ubiquitin ligase that may be functionally redundant with Pub1p, contains a HECT domain, a C2 domain, and three central WW domains					SPBC16E9.11c	ubiquitin-protein ligase (E3)		O14326							
misc_RNA_4.4.53			transcribed strand (GeneDB); mRNA from AU009551. mRNA not associated with an ORF; possibly spurious, expression low on both strands				SPNCRNA.94	non-coding RNA (predicted)									
C5D6.09c		Member of the GPR1, FUN34 or yaaH family, has a region of high similarity to S. cerevisiae Ady2p, which is required for proper ascus formation					SPAC5D6.09c	GPR/FUN34 family		O14201							
PB1A10.02		Protein of unknown function					SPAPB1A10.02	sequence orphan		Q9HDY7							
PB1A10.03		Protein containing one nuclear transport factor 2 (NTF2) domain, which facilitate protein transport into the nucleus					SPAPB1A10.03	Tap cofactor p15		Q9HDY6							
C1071.09c		Protein containing a DnaJ domain, which are part of chaperone (protein folding) system that mediates interaction with heat shock proteins, has low similarity to C. elegans T24H10.3, which is involved in locomotory behavior					SPAC1071.09c	DNAJ domain protein		Q9UTQ5							
PB1A10.05		Protein of unknown function					SPAPB1A10.05	sequence orphan		Q9HDY5							
C12G12.14c		Polyadenylation factor I subunit 2, a protein that is involved in pre-mRNA 3'-end processing and required for proper chromosome segregation during mitosis, contains seven WD (beta-transducin) repeats					SPAC12G12.14c	WD repeat protein		Q9UTN4							
C19F5.03		Member of the SacI homology domain containing family, has moderate similarity to S. cerevisiae Sac1p, which is a polyphosphoinositide phosphatase that plays a role in Golgi function and actin cytoskeleton organization					SPBC19F5.03	inositol polyphosphoinositide phosphatase (predicted)		O60162							
C6C3.02c		Protein containing a coiled-coil-helix-coiled-coil-helix (CHCH) domain, has moderate similarity to uncharacterized C. albicans Orf19.93p					SPAC6C3.02c	CHCH domain		Q10307							
C19F5.04	EC2.7.2.4	Member of the amino acid kinase family, contains two ACT domains, has high similarity to aspartate kinase (L-aspartate 4-P-transferase, S. cerevisiae Hom3p), which catalyzes the first step in the common pathway for methionine and threonine biosynthesis					SPBC19F5.04	aspartate kinase (predicted)		O60163							
PB1A10.08		Protein of unknown function					SPAPB1A10.08	sequence orphan		Q9HDY2							
PB1A10.09		Member of the microtubule associated protein (MAP65 or ASE1) family, promotes antiparallel microtubule bundles during interphase and mitosis					SPAPB1A10.09	ase1,  microtubule-associated protein Ase1 (predicted)		Q9HDY1							
wtf3: meu9							SPCC548.02c										
C577.05c		Protein that may be required for DNA double-strand break formation and recombination					SPBC577.05c	sequence orphan		Q9USR4							
C1215.01		Member of the SURF1 (surfeit locus) family, which may be involved in cytochrome c oxidase biosynthesis, has low similarity to S. cerevisiae Shy1p, which is a mitochondrial protein that is involved in respiration and cytochrome c oxidase complex assembly					SPBC1215.01	SURF-family protein Shy1		Q9Y810							
rpl1-2: rpl10a-2		60S ribosomal protein L1B/L10					SPBC30D10.18c	60S ribosomal protein L10,  rpl1-2,  rpl10a-2		O14363							
dis1		Protein associated with microtubules and spindle pole bodies that is required for chromosome segregation and spindle dynamics and that functions with the microtubule-destabilizing proteins Klp5p and Klp6p in kinetochore-spindle attachment					SPCC736.14	microtubule-associated protein		Q09933							
C1348.01		Member of the DUF999 domain of unknown function family, has very strong similarity to uncharacterized S. pombe Spbcpt2r1.01cp					SPBC1348.01	SPAC1348.01									
C1348.02		Protein of unknown function, has very strong similarity to uncharacterized S. pombe Spbpb2b2.19cp					SPBC1348.02	B66205,  SPAC1348.02									
dis3		Essential protein required for anaphase A mitotic events					SPBC26H8.10	3'-5' exoribonuclease subunit Dis3 (predicted)		P37202							
C1348.03		Protein of unknown function, has very strong similarity to uncharacterized S. pombe Spac977.02p					SPBC1348.03	B44484,  SPAC1348.03									
C24B10.16c		Protein of unknown function					SPCC24B10.16c	sequence orphan		Q9P7J0							
C1348.04		Protein of unknown function, has very strong similarity to uncharacterized S. pombe Spac750.03cp					SPBC1348.04	sterol methyltransferase (predicted),  SPAC1348.04									
C1348.05		Member of the sugar (and other) transporter family and the major facilitator superfamily, has low similarity to S. cerevisiae Tpo1p, which is a polyamine transporter acting in spermidine export					SPBC1348.05	membrane transporter (predicted),  SPAC1348.05									
C188.01c		Protein containing an alpha amylase N-terminal catalytic domain, which degrade branched and unbranched starches, has moderate similarity to alpha amylase (1,4-alpha-glucan glucanohydrolase, A. flavus Amy1), which hydrolyzes starch					SPCC11E10.09c	alpha-amylase (predicted),  SPCC188.01c		Q10427							
C1348.07		Member of the DUF999 domain of unknown function family, has very strong similarity to uncharacterized S. pombe Spbpb2b2.14cp					SPBC1348.07	SPAC1348.07									
C12B10.06c		Member of the TPR repeat region family					SPAC12B10.06c	conserved protein		Q10440							
C1348.09		Protein containing a short chain dehydrogenase domain, has low similarity to a region of 17 beta-hydroxysteroid dehydrogenase type 1 (human HSD17B1), which reversibly interconverts estradiol to estrone					SPBC1348.09	short chain dehydrogenase (predicted),  SPAC1348.09									
C24H6.11c		Member of the sulfate transporter family, contains one cyclic nucleotide-binding domain and one sulfate transporter and antisigma factor antagonist (STAS) domain, which may bind NTPs, has moderate similarity to uncharacterized C. albicans Orf19.3222p					SPAC24H6.11c	sulfate transporter (predicted)		Q09764							
rpsa-2: rps0-2		Protein with high similarity to ribosomal protein S0 (S. cerevisiae Rps0ap), member of the ribosomal S2 family, which are part of the small ribosomal subunit					SPAPJ698.02c	40S ribosomal protein S0B,  rpsa-2,  rps0-2,  rps0		Q9P546							
C70.08c		Protein of unknown function, has low similarity to uncharacterized C. neoformans Cnc00200_D					SPCC70.08c	SAM dependent methyltransferase		O74529							
C790.04c		Essential protein required for nuclear protein import and poly(A)+ export					SPCC1840.01c	Ran interacting protein Mog1p,  SPCC790.04c		O75002							
PB1A10.13		Protein of unknown function, has weak similarity to a region of cell surface flocculin (mucidin-resistance 1, S. cerevisiae Muc1p), which is required for invasive and pseudohyphal growth					SPAPB1A10.13	sequence orphan		Q9HDX7							
PB1A10.14		Protein of unknown function					SPAPB1A10.14	F-box protein (context dependent)		Q9HDX6							
C23G3.07c		Protein of unknown function					SPAC23G3.07c	sequence orphan		Q9P7S6							
PB1A10.15		Member of the Arv1-like family, which may be involved with sterol homeostasis, has low similarity to S. cerevisiae Arv1p, which is involved in sterol uptake and distribution into the plasma membrane					SPAPB1A10.15	Arv1-like family protein		Q9HDX5							
C6C3.03c		Protein of unknown function					SPAC6C3.03c	dubious		Q9Y7I3							
C569.01c		Protein of unknown function, has high similarity to uncharacterized S. pombe Spcp20c8.01cp					SPCC569.01c	B13958 domain		Q9Y7S0							
sck1	EC2.7.1.37	Putative protein kinase, participates in trehalase activation					SPAC1B9.02c	serine/threonine protein kinase		P50530							
C2F7.02c		Member of the NLI interacting factor family, has high similarity to a region of S. cerevisiae Psr1p, which is a plasma membrane phosphatase involved in sodium stress response					SPAC2F7.02c	phosphoprotein phosphatase		Q09695							
C26A3.03c		Protein of unknown function, has similarity to S. cerevisiae Nce4p/Rmi1p that exhibits structure-specific DNA binding and functions within the Sgs1p-Top3p complex					SPAC26A3.03c	rmi1,  RecQ mediated genome instability protein Rmi1		Q10160							
C577.06c		Member of the phosphoinositide 3-kinase family accessory domain (PIK domain) containing family, contains a phosphatidylinositol (PI) 3- and 4-kinase domain, has low similarity to S. cerevisiae Stt4p, which is a PI-4-kinase					SPBC577.06c	phosphatidylinositol kinase (predicted)		Q9USR3							
C1348.11							SPBC1348.11	membrane transporter,  SPAC1348.11									
C1348.12							SPBC1348.12	zinc finger protein,  SPAC1348.12									
C1348.13							SPBC1348.13	similar to fragment of cox1 intron protein,  SPAC1348.13									
c23D3.01		Protein containing a PWWP domain					SPAC23D3.01	PWWP domain protein		Q09842							
PB2C8.01		Protein with low similarity to C. albicans Als1-1p, which is involved in cell adhesion, filament formation and virulence					SPAPB2C8.01	glycoprotein (predicted)		Q9C0Y2							
C17H9.03c		Protein of unknown function					SPAC17H9.03c	sequence orphan		O13800							
C70.09c		Protein of unknown function					SPCC70.09c	conserved fungal protein		O94243							
mcm6: mis5		Component of the MCM complex required for the initiation of replication					SPBC211.04c	MCM complex subunit,  mis5		P49731							
C23G3.08c		Member of the ubiquitin carboxyl-terminal hydrolase family, which are cysteine proteases involved in deubiquitination, has weak similarity to ubiquitin specific protease 16 (human USP16), which deubiquitinates histone H2A and H2B					SPAC23G3.08c	ubp7,  ubiquitin C-terminal hydrolase activity		Q9P7S5							
C12G12.16c		Member of the Xeroderma pigmentosum group G N-terminal domain containing family and the XPG I-region containing family, which act in DNA excision repair, has a region of low similarity to a region of human FEN1, which is an endonuclease and exonuclease					SPAC12G12.16c	XP-G family,  SPAC18B11.01c		Q09708							
C569.02c		Protein of unknown function, has strong similarity to uncharacterized S. pombe Spcp20c8.02cp					SPCC569.02c	33896 domain		Q9Y7S1							
C17H9.04c		Member of the zinc finger in Ran binding proteins (RanBP) family, which may be involved in nuclear transport, contains an RNA recognition motif (RRM, RBD, or RNP), has low similarity to uncharacterized C. albicans Nrp1p					SPAC17H9.04c	RNA-binding protein		O13801							
C12B10.08c		Member of the PP-loop family, which bind ATP, has weak similarity to uncharacterized C. albicans Orf19.2137p					SPAC12B10.08c	hypothetical protein		Q10441							
ubcp3	EC6.3.2.19	Potential E2 ubiquitin conjugating enzyme					SPBP16F5.04	ubiquitin conjugating enzyme,  ubcp3		O00102							
C8E11.04c	EC3.1.1.5	Protein containing a phospholipase or carboxylesterase domain, has moderate similarity to lysophospholipase 1 (mouse Lypla1), which is a serine hydrolase that hydrolyzes lysophospholipids					SPAC8E11.04c	lysophospholipase (predicted)		O42881							
C16E9.14c		Member of the cation diffusion facilitator family, related to family member S. cerevisiae Zrg17p, which mediates zinc uptake into the secretory pathway					SPBC16E9.14c	cation efflux family (predicted)		O14329							
